Load_NO,Load_SE,Load_FI,Load_DK,Load_IE,Load_UK,Load_NL,Load_BE,Load_LU,Load_DE,Load_PL,Load_LV,Load_EE,Load_LT,Load_CZ,Load_AT,Load_SK,Load_HU,Load_FR,Load_CH,Load_IT,Load_SI,Load_HR,Load_RO,Load_BG,Load_GR,Load_ES,Load_PT
13302,14169,8163,4355,3758,25651,10496.5,10267,648.25,61005.5,21186,873,946,1365,6103,7732.25,3414,5222.25,49173,7104,45573,1626,2631,7685.75,4386,7677,31156,6273
13444,14238,8282,4529,3942,25769.5,10090.25,10333,668.75,63541.75,21193,877,973,1389,6389,7980.25,3406,5246.25,50359,7211,46461,1648,2664,7759,4421,7908,32188,6500
13352,14393,8323,4526,3959.5,25442.5,9886,10496.75,679,64538.25,21578,857,1018,1372,6590,8135.75,3462,5295.75,51610,7460,47258,1660,2788,7820,4376,8148,32858,6557
13402,14633,8353,4480,3979,25319.5,9360.75,10514.75,680.25,64506,21727,881,1005,1360,6539,8097.75,3502,5271.5,53161,7635,46537,1693,2854,7843.5,4447,8329,33527,6689
13278,14724,8263,4490,4027,24708.5,9054.25,10491.75,669.75,64527.75,21775,866,951,1332,6431,7986.5,3425,5219.5,52743,7154,47487,1689,2841,7737.75,4443,8224,34009,6601
12964,14630,8167,4422,4004,24174,9396.5,10324.25,655.75,63440.75,21294,858,947,1290,6297,7795.5,3355,5251.75,51926,7159,48825,1660,2813,7614.75,4430,7993,33655,6602
13009,14190,8086,4397,3962.5,24304,10355.25,9999.75,644.5,62339.75,21492,838,950,1280,6264,7708,3299,5349.25,50679,7099,49043,1643,2764,7482.25,4389,7777,32789,6712
13547,13758,8116,4280,3939.5,25374.5,11249,9839,632.25,60787.25,21432,812,954,1270,6221,7585.5,3273,5450,49351,6982,49105,1656,2742,7405.25,4369,7646,32062,6724
13494,13705,8088,4337,4004,26978,12457.25,10091.75,631.5,60003.5,21171,798,961,1268,6061,7519.5,3222,5488.75,48703,6954,48275,1651,2708,7310.25,4430,7554,31879,6724
13318,13169,8085,4223,4116.5,27658.5,12617.5,10048.5,638.75,59714.25,20627,769,902,1266,5983,7387.75,3205,5523.25,49533,6869,46822,1682,2704,7219.25,4451,7406,31167,6623
13199,13078,8007,3985,4101,27582,12590.25,9652,625.25,59115.25,20745,745,881,1258,6029,7322,3206,5572.25,49754,6905,45825,1715,2695,7200.75,4355,7266,30862,6570
